#;Domínio;Técnica;Descrição;Implementação / Offsets 2026;Situação / Evolução;Por que? (Motivação Técnica);Risco de Detecção
484;Recoil (RCS);Sub-pixel Precise RCS v484;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
485;Entrada (Input);Hypervisor-based Memory Access v485;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
486;Recoil (RCS);IAT Camouflage v486;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
487;Hardware (Sayo Device);Sub-pixel Precise RCS v487;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
488;Networking (Sub-tick);IAT Camouflage v488;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
489;OPSEC & Forensics;Asynchronous ESP Rendering v489;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
490;Memória & Evasão;IAT Camouflage v490;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
491;OPSEC & Forensics;Direct IOCTL Communication v491;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
492;Hardware (Sayo Device);Hypervisor-based Memory Access v492;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
493;Recoil (RCS);Hypervisor-based Memory Access v493;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
494;OPSEC & Forensics;Hypervisor-based Memory Access v494;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
495;Entrada (Input);Hypervisor-based Memory Access v495;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
496;Hardware (Sayo Device);Sub-pixel Precise RCS v496;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
497;Entrada (Input);Direct IOCTL Communication v497;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
498;Aimbot & Matemática;IAT Camouflage v498;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
499;Aimbot & Matemática;Direct IOCTL Communication v499;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
500;Networking (Sub-tick);Sub-pixel Precise RCS v500;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
